ds,1_BEVERAGES_y,1_GROCERY I_y,1_PRODUCE_y,2_BEVERAGES_y,1_BEVERAGES_LGBMRegressor,1_GROCERY I_LGBMRegressor,1_PRODUCE_LGBMRegressor,2_BEVERAGES_LGBMRegressor
2017-06-20,2977.0,4575.0,2414.162,3100.0,,,,
2017-06-21,2583.0,2898.0,4339.485,2556.0,,,,
2017-06-22,1824.0,2499.0,2298.442,2440.0,,,,
2017-06-23,2394.0,2663.0,2550.005,3309.0,,,,
2017-06-24,2674.0,2877.0,2558.38,4142.0,,,,
2017-06-25,1070.0,1264.0,1161.008,4735.0,,,,
2017-06-26,2242.0,2812.0,2238.98,2781.0,,,,
2017-06-27,2101.0,2653.0,2426.717,2333.0,,,,
2017-06-28,2203.0,3003.0,4393.774,2624.0,,,,
2017-06-29,2128.0,2603.0,2310.124,2248.0,,,,
2017-06-30,2496.0,2916.0,2229.658,2740.0,,,,
2017-07-01,2596.0,2871.0,2536.962,4387.0,,,,
2017-07-02,1135.0,1222.0,1265.451,4879.0,,,,
2017-07-03,2526.0,2952.0,2954.984,3251.0,,,,
2017-07-04,2284.0,2759.0,2265.395,2918.0,,,,
2017-07-05,2691.0,3147.0,4092.718,2914.0,,,,
2017-07-06,2284.0,2550.0,2206.24,2859.0,,,,
2017-07-07,2574.0,2972.0,2246.033,3272.0,,,,
2017-07-08,2351.0,2561.0,2536.969,4201.0,,,,
2017-07-09,1181.0,1140.0,1307.405,4467.0,,,,
2017-07-10,2338.0,2849.0,2676.177,3272.0,,,,
2017-07-11,2372.0,2712.0,2072.539,2707.0,,,,
2017-07-12,2460.0,3185.0,4106.119,2834.0,,,,
2017-07-13,2115.0,2571.0,2275.642,2338.0,,,,
2017-07-14,2529.0,3182.0,2408.065,2966.0,,,,
2017-07-15,2183.0,2297.0,2154.773,4249.0,,,,
2017-07-16,1079.0,1028.0,1118.207,4707.0,,,,
2017-07-17,2381.0,2720.0,2581.681,3116.0,,,,
2017-07-18,2589.0,3370.0,2425.704,2842.0,,,,
2017-07-19,2369.0,3065.0,3799.933,2953.0,,,,
2017-07-20,2006.0,2592.0,2182.5989,2638.0,,,,
2017-07-21,2859.0,2725.0,2615.542,3618.0,,,,
2017-07-22,2258.0,2576.0,2510.037,4085.0,,,,
2017-07-23,1024.0,1371.0,1291.622,4109.0,,,,
2017-07-24,2158.0,2612.0,2589.719,3353.0,,,,
2017-07-25,2438.0,2405.0,2001.238,2681.0,,,,
2017-07-26,2242.0,2878.0,3766.491,3001.0,,,,
2017-07-27,2002.0,2466.0,2313.988,2621.0,,,,
2017-07-28,2358.0,2622.0,2328.788,3338.0,,,,
2017-07-29,2161.0,2446.0,2407.446,3846.0,,,,
2017-07-30,1212.0,1086.0,1178.718,4153.0,,,,
2017-07-31,2414.0,2966.0,2603.372,2993.0,,,,
2017-08-01,2627.0,2872.0,2560.61,3141.0,,,,
2017-08-02,2645.0,3247.0,4375.5522,3394.0,,,,
2017-08-03,2037.0,2177.0,1925.761,2304.0,,,,
2017-08-04,2479.0,2778.0,2702.803,2785.0,,,,
2017-08-05,2093.0,2034.0,2126.341,3150.0,,,,
2017-08-06,968.0,1025.0,1027.442,3594.0,,,,
2017-08-07,2086.0,2551.0,2416.128,2547.0,,,,
2017-08-08,2418.0,3062.0,2137.037,2433.0,,,,
2017-08-09,,,,,2574.475566729905,3136.9890932275775,2423.344775697034,2683.8974347910025
2017-08-10,,,,,2578.632586860507,3086.6705641537137,2604.8860344481527,2607.0323160310436
2017-08-11,,,,,2570.7511894790823,3044.230908765553,2714.17103915206,2714.17103915206
2017-08-12,,,,,2578.632586860507,3121.105126392124,2665.7153315261035,2665.7153315261035
2017-08-13,,,,,2570.7511894790823,3086.6705641537137,2649.800154566618,2649.800154566618
2017-08-14,,,,,2578.632586860507,3044.230908765553,2636.049822355685,2636.049822355685
2017-08-15,,,,,2570.7511894790823,3121.105126392124,2644.9534591549,2644.9534591549
